Year,Status,No.,School Grade,Value
2021,Public,9,Not-yet,25
2021,Private,9,B,16
2023,Public,9,B,14
2022,Public,9,B,14
2023,Public,9,Not-yet,7
2022,Public,9,Not-yet,7
2023,Public,9,C,6
2022,Public,9,C,6
2023,Private,9,A,3
2022,Private,9,A,3
2023,Public,9,A,2
2022,Public,9,A,2
2021,Public,9,A,2
2021,Public,9,B,2
2021,Private,9,A,2
2023,Private,9,No,1
2023,Public,9,No,0
2022,Public,9,No,0
2022,Private,9,No,0
2021,Public,9,No,0
2021,Private,9,No,0
2021,Public,9,C,0
2023,Private,10,B,13
2022,Private,10,B,13
2021,Private,10,B,13
2023,Private,10,C,12
2022,Private,10,C,11
2021,Private,10,C,11
2023,Public,10,B,10
2022,Public,10,B,10
2021,Public,10,B,10
2023,Public,10,A,8
2022,Public,10,A,7
2021,Public,10,A,7
2022,Private,10,A,4
2021,Private,10,A,4
2023,Private,10,A,3
2023,Private,10,Not-yet,2
2022,Private,10,No,1
2022,Private,10,Not-yet,1
2021,Private,10,No,1
2021,Private,10,Not-yet,1
2023,Private,10,No,0
2023,Public,10,No,0
2022,Public,10,No,0
2021,Public,10,No,0
2023,Public,10,C,0
2022,Public,10,C,0
2021,Public,10,C,0
2023,Public,10,Not-yet,0
2022,Public,10,Not-yet,0
2021,Public,10,Not-yet,0
2023,Private,11,Not-yet,7
2023,Public,11,B,6
2022,Private,11,Not-yet,6
2021,Public,11,Not-yet,6
2021,Private,11,Not-yet,6
2022,Public,11,B,5
2023,Private,11,C,4
2022,Public,11,Not-yet,4
2022,Private,11,C,4
2021,Public,11,B,4
2021,Private,11,C,4
2023,Public,11,Not-yet,3
2023,Private,11,B,1
2023,Public,11,C,1
2022,Public,11,C,1
2022,Private,11,B,1
2023,Private,11,No,0
2023,Public,11,No,0
2022,Public,11,No,0
2022,Private,11,No,0
2021,Public,11,No,0
2021,Private,11,No,0
2023,Private,11,A,0
2023,Public,11,A,0
2022,Public,11,A,0
2022,Private,11,A,0
2021,Public,11,A,0
2021,Private,11,A,0
2021,Public,11,C,0
2021,Private,11,B,0
2023,Public,12,B,7
2022,Public,12,B,7
2021,Public,12,B,7
2023,Public,12,A,6
2022,Public,12,A,6
2021,Public,12,A,6
2023,Private,12,C,3
2023,Private,12,Not-yet,3
2023,Public,12,Not-yet,3
2022,Private,12,C,3
2021,Private,12,C,3
2023,Private,12,B,2
2022,Private,12,B,2
2021,Private,12,B,2
2022,Public,12,Not-yet,1
2022,Private,12,Not-yet,1
2023,Private,12,No,0
2023,Public,12,No,0
2022,Public,12,No,0
2022,Private,12,No,0
2021,Public,12,No,0
2021,Private,12,No,0
2023,Private,12,A,0
2022,Private,12,A,0
2021,Private,12,A,0
2023,Public,12,C,0
2022,Public,12,C,0
2021,Public,12,C,0
2021,Public,12,Not-yet,0
2021,Private,12,Not-yet,0
2023,Private,13,C,10
2023,Public,13,B,10
2022,Public,13,B,10
2022,Private,13,C,9
2021,Public,13,B,9
2021,Private,13,C,8
2023,Private,13,Not-yet,6
2023,Private,13,B,5
2022,Private,13,B,5
2022,Private,13,Not-yet,5
2021,Public,13,Not-yet,5
2023,Public,13,Not-yet,4
2022,Public,13,Not-yet,4
2021,Private,13,B,4
2021,Private,13,Not-yet,4
2023,Private,13,A,2
2023,Public,13,A,2
2022,Public,13,A,2
2022,Private,13,A,2
2021,Private,13,A,2
2022,Private,13,No,1
2021,Public,13,A,1
2021,Private,13,No,1
2023,Private,13,No,0
2023,Public,13,No,0
2022,Public,13,No,0
2021,Public,13,No,0
2023,Public,13,C,0
2022,Public,13,C,0
2021,Public,13,C,0
2023,Public,14,B,4
2022,Public,14,B,4
2021,Public,14,B,4
2023,Public,14,A,3
2022,Public,14,A,3
2021,Public,14,A,3
2023,Private,14,B,1
2023,Private,14,C,1
2022,Private,14,B,1
2022,Private,14,C,1
2021,Private,14,B,1
2021,Private,14,C,1
2023,Private,14,No,0
2023,Public,14,No,0
2022,Public,14,No,0
2022,Private,14,No,0
2021,Public,14,No,0
2021,Private,14,No,0
2023,Private,14,A,0
2022,Private,14,A,0
2021,Private,14,A,0
2023,Public,14,C,0
2022,Public,14,C,0
2021,Public,14,C,0
2023,Private,14,Not-yet,0
2023,Public,14,Not-yet,0
2022,Public,14,Not-yet,0
2022,Private,14,Not-yet,0
2021,Public,14,Not-yet,0
2021,Private,14,Not-yet,0
2023,Public,15,C,7
2022,Public,15,C,7
2021,Public,15,C,7
2023,Public,15,B,5
2022,Public,15,B,5
2021,Public,15,B,5
2023,Private,15,Not-yet,3
2022,Private,15,Not-yet,3
2021,Private,15,Not-yet,3
2023,Public,15,Not-yet,2
2022,Public,15,Not-yet,2
2023,Public,15,A,1
2022,Public,15,A,1
2021,Public,15,A,1
2021,Public,15,Not-yet,1
2023,Private,15,No,0
2023,Public,15,No,0
2022,Public,15,No,0
2022,Private,15,No,0
2021,Public,15,No,0
2021,Private,15,No,0
2023,Private,15,A,0
2022,Private,15,A,0
2021,Private,15,A,0
2023,Private,15,C,0
2022,Private,15,C,0
2021,Private,15,C,0
2023,Private,15,B,0
2022,Private,15,B,0
2021,Private,15,B,0
2023,Public,16,B,11
2022,Public,16,B,9
2023,Private,16,C,8
2021,Public,16,B,8
2023,Private,16,B,7
2022,Private,16,B,7
2022,Private,16,C,7
2021,Private,16,B,7
2021,Private,16,C,7
2021,Public,16,Not-yet,3
2023,Private,16,Not-yet,2
2022,Public,16,C,2
2022,Private,16,Not-yet,2
2023,Private,16,A,1
2023,Public,16,A,1
2023,Public,16,C,1
2022,Public,16,A,1
2022,Public,16,Not-yet,1
2022,Private,16,A,1
2021,Public,16,A,1
2021,Public,16,C,1
2021,Private,16,A,1
2021,Private,16,Not-yet,1
2023,Private,16,No,0
2023,Public,16,No,0
2022,Public,16,No,0
2022,Private,16,No,0
2021,Public,16,No,0
2021,Private,16,No,0
2023,Public,16,Not-yet,0
2021,Public,17,Not-yet,8
2023,Public,17,B,6
2023,Public,17,C,6
2022,Public,17,B,6
2022,Public,17,C,6
2021,Private,17,Not-yet,6
2023,Private,17,Not-yet,5
2023,Private,17,B,4
2022,Private,17,B,4
2022,Private,17,Not-yet,3
2021,Public,17,C,3
2023,Private,17,C,2
2023,Public,17,Not-yet,2
2022,Private,17,C,2
2021,Public,17,B,2
2021,Private,17,C,2
2023,Public,17,A,1
2022,Public,17,A,1
2022,Public,17,Not-yet,1
2021,Public,17,A,1
2021,Private,17,B,1
2023,Private,17,No,0
2023,Public,17,No,0
2022,Public,17,No,0
2022,Private,17,No,0
2021,Public,17,No,0
2021,Private,17,No,0
2023,Private,17,A,0
2022,Private,17,A,0
2021,Private,17,A,0
2023,Public,18,B,9
2022,Public,18,B,9
2021,Public,18,B,9
2022,Public,18,C,8
2023,Public,18,C,7
2021,Public,18,C,7
2021,Private,18,C,4
2023,Private,18,C,3
2022,Private,18,C,3
2023,Public,18,A,2
2023,Public,18,Not-yet,2
2022,Public,18,A,2
2022,Public,18,Not-yet,2
2021,Public,18,A,2
2023,Private,18,B,1
2023,Private,18,Not-yet,1
2022,Private,18,B,1
2021,Public,18,Not-yet,1
2021,Private,18,B,1
2023,Private,18,No,0
2023,Public,18,No,0
2022,Public,18,No,0
2022,Private,18,No,0
2021,Public,18,No,0
2021,Private,18,No,0
2023,Private,18,A,0
2022,Private,18,A,0
2021,Private,18,A,0
2022,Private,18,Not-yet,0
2021,Private,18,Not-yet,0
2021,Public,19,Not-yet,21
2023,Public,19,B,9
2022,Public,19,B,9
2022,Public,19,Not-yet,9
2023,Public,19,Not-yet,8
2021,Private,19,Not-yet,4
2023,Public,19,C,3
2022,Public,19,C,3
2023,Private,19,Not-yet,2
2023,Public,19,No,2
2022,Private,19,Not-yet,2
2023,Private,19,B,1
2023,Private,19,C,1
2022,Private,19,B,1
2022,Private,19,C,1
2023,Private,19,No,0
2022,Public,19,No,0
2022,Private,19,No,0
2021,Public,19,No,0
2021,Private,19,No,0
2023,Private,19,A,0
2023,Public,19,A,0
2022,Public,19,A,0
2022,Private,19,A,0
2021,Public,19,A,0
2021,Private,19,A,0
2021,Public,19,C,0
2021,Private,19,C,0
2021,Public,19,B,0
2021,Private,19,B,0
2023,Private,20,C,14
2022,Private,20,C,14
2021,Private,20,C,11
2021,Private,20,Not-yet,11
2021,Public,20,Not-yet,9
2023,Private,20,B,6
2022,Private,20,B,6
2022,Public,20,Not-yet,5
2023,Private,20,Not-yet,4
2023,Public,20,B,4
2023,Public,20,Not-yet,4
2021,Private,20,B,4
2022,Public,20,B,3
2022,Private,20,Not-yet,3
2023,Public,20,C,2
2022,Public,20,C,2
2021,Public,20,C,2
2023,Public,20,A,1
2022,Public,20,A,1
2023,Private,20,No,0
2023,Public,20,No,0
2022,Public,20,No,0
2022,Private,20,No,0
2021,Public,20,No,0
2021,Private,20,No,0
2023,Private,20,A,0
2022,Private,20,A,0
2021,Public,20,A,0
2021,Private,20,A,0
2021,Public,20,B,0
2021,Public,21,Not-yet,5
2023,Public,21,B,3
2022,Public,21,B,3
2023,Public,21,Not-yet,2
2023,Private,21,Not-yet,1
2023,Public,21,A,1
2022,Public,21,A,1
2022,Public,21,Not-yet,1
2023,Private,21,No,0
2023,Public,21,No,0
2022,Public,21,No,0
2022,Private,21,No,0
2021,Public,21,No,0
2021,Private,21,No,0
2023,Private,21,A,0
2022,Private,21,A,0
2021,Public,21,A,0
2021,Private,21,A,0
2023,Private,21,C,0
2023,Public,21,C,0
2022,Public,21,C,0
2022,Private,21,C,0
2021,Public,21,C,0
2021,Private,21,C,0
2023,Private,21,B,0
2022,Private,21,B,0
2022,Private,21,Not-yet,0
2021,Public,21,B,0
2021,Private,21,B,0
2021,Private,21,Not-yet,0
2023,Private,22,C,12
2022,Private,22,C,12
2021,Private,22,C,12
2023,Private,22,B,7
2023,Private,22,Not-yet,7
2022,Private,22,B,7
2021,Private,22,B,7
2022,Private,22,Not-yet,6
2021,Private,22,Not-yet,4
2023,Public,22,B,3
2022,Public,22,B,3
2021,Public,22,B,3
2023,Private,22,A,2
2022,Private,22,A,2
2021,Private,22,A,2
2023,Private,22,No,1
2023,Public,22,A,1
2023,Public,22,C,1
2023,Public,22,No,1
2022,Public,22,A,1
2022,Public,22,C,1
2022,Public,22,No,1
2022,Private,22,No,1
2021,Public,22,A,1
2021,Public,22,C,1
2021,Public,22,No,1
2021,Private,22,No,1
2023,Public,22,Not-yet,0
2022,Public,22,Not-yet,0
2021,Public,22,Not-yet,0
2021,Public,23,Not-yet,8
2022,Public,23,Not-yet,7
2023,Public,23,Not-yet,6
2023,Public,23,A,1
2023,Public,23,No,1
2022,Public,23,A,1
2023,Private,23,No,0
2022,Public,23,No,0
2022,Private,23,No,0
2021,Public,23,No,0
2021,Private,23,No,0
2023,Private,23,A,0
2022,Private,23,A,0
2021,Public,23,A,0
2021,Private,23,A,0
2023,Private,23,C,0
2023,Public,23,C,0
2022,Public,23,C,0
2022,Private,23,C,0
2021,Public,23,C,0
2021,Private,23,C,0
2023,Private,23,B,0
2023,Private,23,Not-yet,0
2023,Public,23,B,0
2022,Public,23,B,0
2022,Private,23,B,0
2022,Private,23,Not-yet,0
2021,Public,23,B,0
2021,Private,23,B,0
2021,Private,23,Not-yet,0
2022,Private,24,Not-yet,9
2023,Private,24,Not-yet,8
2023,Public,24,B,8
2022,Public,24,B,8
2021,Public,24,B,8
2021,Private,24,Not-yet,7
2023,Private,24,C,6
2023,Public,24,C,6
2022,Public,24,C,6
2022,Private,24,C,6
2021,Public,24,C,6
2021,Private,24,C,5
2023,Private,24,A,2
2023,Public,24,Not-yet,2
2022,Public,24,Not-yet,2
2021,Public,24,Not-yet,2
2023,Private,24,B,1
2022,Private,24,A,1
2022,Private,24,B,1
2021,Private,24,A,1
2021,Private,24,B,1
2023,Private,24,No,0
2023,Public,24,No,0
2022,Public,24,No,0
2022,Private,24,No,0
2021,Public,24,No,0
2021,Private,24,No,0
2023,Public,24,A,0
2022,Public,24,A,0
2021,Public,24,A,0
2021,Private,25,Not-yet,28
2023,Private,25,Not-yet,26
2022,Private,25,Not-yet,24
2023,Private,25,C,21
2022,Private,25,C,21
2023,Private,25,B,19
2022,Private,25,B,19
2021,Private,25,C,19
2021,Public,25,Not-yet,16
2021,Private,25,B,13
2022,Public,25,Not-yet,11
2023,Public,25,Not-yet,9
2023,Public,25,A,8
2022,Public,25,A,8
2023,Public,25,B,5
2021,Public,25,A,5
2022,Public,25,B,4
2023,Private,25,A,3
2023,Private,25,No,2
2022,Private,25,A,2
2022,Private,25,No,2
2021,Public,25,B,2
2021,Private,25,No,2
2023,Public,25,No,1
2021,Private,25,A,1
2022,Public,25,No,0
2021,Public,25,No,0
2023,Public,25,C,0
2022,Public,25,C,0
2021,Public,25,C,0
2021,Private,26,Not-yet,9
2023,Private,26,C,8
2023,Public,26,C,8
2022,Public,26,C,8
2022,Private,26,C,8
2021,Public,26,Not-yet,7
2021,Public,26,C,3
2023,Private,26,B,2
2023,Private,26,Not-yet,2
2023,Public,26,B,2
2023,Public,26,Not-yet,2
2022,Public,26,B,2
2022,Public,26,Not-yet,2
2022,Private,26,B,2
2022,Private,26,Not-yet,2
2021,Public,26,B,2
2021,Private,26,C,2
2023,Public,26,A,1
2022,Public,26,A,1
2021,Public,26,A,1
2021,Private,26,B,1
2023,Private,26,No,0
2023,Public,26,No,0
2022,Public,26,No,0
2022,Private,26,No,0
2021,Public,26,No,0
2021,Private,26,No,0
2023,Private,26,A,0
2022,Private,26,A,0
2021,Private,26,A,0
2021,Private,27,Not-yet,39
2022,Private,27,Not-yet,25
2023,Private,27,Not-yet,24
2023,Private,27,C,23
2022,Private,27,C,20
2023,Private,27,B,16
2022,Private,27,B,13
2021,Private,27,C,10
2023,Public,27,B,9
2022,Public,27,B,8
2021,Public,27,B,8
2021,Private,27,B,8
2021,Public,27,Not-yet,5
2023,Public,27,C,4
2022,Public,27,C,4
2022,Private,27,No,4
2021,Private,27,No,4
2023,Public,27,Not-yet,3
2022,Public,27,Not-yet,3
2023,Private,27,No,2
2021,Public,27,C,2
2023,Public,27,A,1
2022,Public,27,A,1
2022,Public,27,No,1
2021,Public,27,A,1
2021,Public,27,No,1
2023,Public,27,No,0
2023,Private,27,A,0
2022,Private,27,A,0
2021,Private,27,A,0
2021,Public,28,Not-yet,7
2023,Public,28,Not-yet,5
