Year,Status,No.,Disability Type,Total
2021,Private,7,Others,430
2023,Public,7,Deaf,460
2023,Public,7,Blind,92
2023,Public,7,Mentally Retarded,1486
2023,Public,7,Others,613
2023,Public,7,Physically Handicapped,195
2022,Public,7,Physically Handicapped,209
2022,Public,7,Others,514
2022,Public,7,Blind,88
2022,Public,7,Deaf,449
2022,Public,7,Mentally Retarded,1286
2021,Public,7,Others,433
2021,Public,7,Blind,76
2021,Public,7,Deaf,470
2021,Public,7,Mentally Retarded,1278
2021,Public,7,Physically Handicapped,195
2023,Private,8,Deaf,618
2023,Private,8,Blind,101
2023,Private,8,Others,651
2023,Private,8,Physically Handicapped,56
2023,Private,8,Mentally Retarded,1175
2022,Private,8,Blind,111
2022,Private,8,Others,521
2022,Private,8,Deaf,585
2022,Private,8,Physically Handicapped,64
2022,Private,8,Mentally Retarded,1109
2021,Private,8,Deaf,550
2021,Private,8,Blind,113
2021,Private,8,Mentally Retarded,1029
2021,Private,8,Others,407
2021,Private,8,Physically Handicapped,62
2023,Public,8,Physically Handicapped,88
2023,Public,8,Others,631
2023,Public,8,Mentally Retarded,1665
2023,Public,8,Blind,56
2023,Public,8,Deaf,696
2022,Public,8,Others,506
2022,Public,8,Mentally Retarded,1658
2022,Public,8,Physically Handicapped,101
2022,Public,8,Blind,61
2022,Public,8,Deaf,683
2021,Public,8,Blind,64
2021,Public,8,Physically Handicapped,112
2021,Public,8,Others,445
2021,Public,8,Deaf,694
2021,Public,8,Mentally Retarded,1637
2023,Private,9,Deaf,362
2023,Private,9,Blind,48
2023,Private,9,Mentally Retarded,2741
2023,Private,9,Others,1853
2023,Private,9,Physically Handicapped,107
2022,Private,9,Deaf,442
2022,Private,9,Mentally Retarded,2753
2022,Private,9,Blind,57
2022,Private,9,Physically Handicapped,151
2022,Private,9,Others,1674
2021,Private,9,Mentally Retarded,2677
2021,Private,9,Physically Handicapped,132
2021,Private,9,Deaf,465
2021,Private,9,Others,1529
2021,Private,9,Blind,55
2023,Public,9,Deaf,329
2023,Public,9,Physically Handicapped,51
2023,Public,9,Others,432
2023,Public,9,Mentally Retarded,1338
2023,Public,9,Blind,55
2022,Public,9,Others,368
2022,Public,9,Mentally Retarded,1318
2022,Public,9,Physically Handicapped,61
2022,Public,9,Deaf,326
2022,Public,9,Blind,58
2021,Public,9,Blind,54
2021,Public,9,Physically Handicapped,72
2021,Public,9,Others,288
2021,Public,9,Mentally Retarded,1361
2021,Public,9,Deaf,355
2023,Private,10,Mentally Retarded,789
2023,Private,10,Deaf,259
2023,Private,10,Others,662
2023,Private,10,Physically Handicapped,49
2023,Private,10,Blind,23
2022,Private,10,Others,581
2022,Private,10,Blind,26
2022,Private,10,Deaf,288
2022,Private,10,Mentally Retarded,796
2022,Private,10,Physically Handicapped,64
2021,Private,10,Blind,26
2021,Private,10,Deaf,290
2021,Private,10,Mentally Retarded,821
2021,Private,10,Physically Handicapped,66
2021,Private,10,Others,512
2023,Public,10,Mentally Retarded,986
2023,Public,10,Deaf,401
2023,Public,10,Physically Handicapped,77
2023,Public,10,Blind,52
2023,Public,10,Others,418
2022,Public,10,Others,324
2022,Public,10,Deaf,360
2022,Public,10,Physically Handicapped,79
2022,Public,10,Mentally Retarded,909
2022,Public,10,Blind,45
2021,Public,10,Blind,46
2021,Public,10,Mentally Retarded,917
2021,Public,10,Others,257
2021,Public,10,Physically Handicapped,81
2021,Public,10,Deaf,364
2023,Private,11,Physically Handicapped,12
2023,Private,11,Others,247
2023,Private,11,Mentally Retarded,247
2023,Private,11,Blind,16
2023,Private,11,Deaf,110
2022,Private,11,Blind,13
2022,Private,11,Others,207
2022,Private,11,Physically Handicapped,20
2022,Private,11,Mentally Retarded,234
2022,Private,11,Deaf,109
2021,Private,11,Deaf,114
2021,Private,11,Blind,9
2021,Private,11,Others,167
2021,Private,11,Physically Handicapped,18
2021,Private,11,Mentally Retarded,230
2023,Public,11,Mentally Retarded,464
2023,Public,11,Deaf,177
2023,Public,11,Others,298
2023,Public,11,Physically Handicapped,33
2023,Public,11,Blind,33
2022,Public,11,Others,255
2022,Public,11,Mentally Retarded,433
2022,Public,11,Physically Handicapped,32
2022,Public,11,Deaf,171
2022,Public,11,Blind,24
2021,Public,11,Blind,23
2021,Public,11,Physically Handicapped,38
2021,Public,11,Others,205
2021,Public,11,Mentally Retarded,436
2021,Public,11,Deaf,162
2023,Private,12,Others,146
2023,Private,12,Blind,5
2023,Private,12,Deaf,41
2023,Private,12,Physically Handicapped,40
2023,Private,12,Mentally Retarded,129
2022,Private,12,Mentally Retarded,100
2022,Private,12,Physically Handicapped,41
2022,Private,12,Deaf,41
2022,Private,12,Others,109
2022,Private,12,Blind,5
2021,Private,12,Physically Handicapped,39
2021,Private,12,Others,80
2021,Private,12,Mentally Retarded,77
2021,Private,12,Blind,5
2021,Private,12,Deaf,34
2023,Public,12,Others,336
2023,Public,12,Blind,38
2023,Public,12,Physically Handicapped,106
2023,Public,12,Deaf,417
2023,Public,12,Mentally Retarded,1114
2022,Public,12,Mentally Retarded,1061
2022,Public,12,Physically Handicapped,115
2022,Public,12,Deaf,406
2022,Public,12,Others,269
2022,Public,12,Blind,43
2021,Public,12,Physically Handicapped,106
2021,Public,12,Others,208
2021,Public,12,Mentally Retarded,1002
2021,Public,12,Blind,46
2021,Public,12,Deaf,414
2023,Private,13,Physically Handicapped,31
2023,Private,13,Others,368
2023,Private,13,Deaf,198
2023,Private,13,Mentally Retarded,594
2023,Private,13,Blind,29
2022,Private,13,Physically Handicapped,32
2022,Private,13,Mentally Retarded,561
2022,Private,13,Deaf,183
2022,Private,13,Blind,32
2022,Private,13,Others,352
2021,Private,13,Others,279
2021,Private,13,Physically Handicapped,32
2021,Private,13,Mentally Retarded,551
2021,Private,13,Deaf,201
