Year,Status,No.,Disability Type,Total
2022,Public,29,Physically Handicapped,72
2022,Public,29,Mentally Retarded,436
2021,Public,29,Mentally Retarded,424
2021,Public,29,Deaf,94
2021,Public,29,Blind,26
2021,Public,29,Others,167
2021,Public,29,Physically Handicapped,75
2023,Private,30,Physically Handicapped,17
2023,Private,30,Mentally Retarded,112
2023,Private,30,Others,18
2023,Private,30,Blind,0
2023,Private,30,Deaf,0
2022,Private,30,Mentally Retarded,120
2022,Private,30,Blind,0
2022,Private,30,Deaf,1
2022,Private,30,Physically Handicapped,18
2022,Private,30,Others,17
2021,Private,30,Physically Handicapped,21
2021,Private,30,Deaf,0
2021,Private,30,Mentally Retarded,120
2021,Private,30,Others,8
2021,Private,30,Blind,0
2023,Public,30,Blind,87
2023,Public,30,Deaf,567
2023,Public,30,Mentally Retarded,1289
2023,Public,30,Others,354
2023,Public,30,Physically Handicapped,43
2022,Public,30,Mentally Retarded,1263
2022,Public,30,Physically Handicapped,46
2022,Public,30,Deaf,584
2022,Public,30,Others,256
2022,Public,30,Blind,89
2021,Public,30,Physically Handicapped,43
2021,Public,30,Others,188
2021,Public,30,Mentally Retarded,1189
2021,Public,30,Blind,88
2021,Public,30,Deaf,624
2023,Private,31,Blind,123
2023,Private,31,Others,401
2023,Private,31,Physically Handicapped,242
2023,Private,31,Deaf,359
2023,Private,31,Mentally Retarded,683
2022,Private,31,Blind,126
2022,Private,31,Others,417
2022,Private,31,Deaf,371
2022,Private,31,Physically Handicapped,222
2022,Private,31,Mentally Retarded,667
2021,Private,31,Deaf,372
2021,Private,31,Blind,125
2021,Private,31,Mentally Retarded,648
2021,Private,31,Others,428
2021,Private,31,Physically Handicapped,236
2023,Public,31,Others,372
2023,Public,31,Deaf,451
2023,Public,31,Mentally Retarded,1244
2023,Public,31,Physically Handicapped,193
2023,Public,31,Blind,66
2022,Public,31,Blind,63
2022,Public,31,Others,318
2022,Public,31,Physically Handicapped,191
2022,Public,31,Mentally Retarded,1134
2022,Public,31,Deaf,457
2021,Public,31,Deaf,434
2021,Public,31,Blind,55
2021,Public,31,Others,272
2021,Public,31,Physically Handicapped,163
2021,Public,31,Mentally Retarded,982
2023,Private,32,Physically Handicapped,33
2023,Private,32,Others,120
2023,Private,32,Blind,36
2023,Private,32,Mentally Retarded,374
2023,Private,32,Deaf,123
2022,Private,32,Blind,40
2022,Private,32,Others,102
2022,Private,32,Deaf,126
2022,Private,32,Physically Handicapped,27
2022,Private,32,Mentally Retarded,323
2021,Private,32,Deaf,129
2021,Private,32,Blind,41
2021,Private,32,Mentally Retarded,245
2021,Private,32,Others,161
2021,Private,32,Physically Handicapped,24
2023,Public,32,Mentally Retarded,1619
2023,Public,32,Others,406
2023,Public,32,Physically Handicapped,151
2023,Public,32,Deaf,260
2023,Public,32,Blind,70
2022,Public,32,Others,373
2022,Public,32,Mentally Retarded,1456
2022,Public,32,Physically Handicapped,151
2022,Public,32,Blind,64
2022,Public,32,Deaf,258
2021,Public,32,Blind,73
2021,Public,32,Physically Handicapped,139
2021,Public,32,Others,319
2021,Public,32,Deaf,269
2021,Public,32,Mentally Retarded,1355
2023,Private,33,Mentally Retarded,35
2023,Private,33,Physically Handicapped,5
2023,Private,33,Deaf,12
2023,Private,33,Others,8
2023,Private,33,Blind,3
2022,Private,33,Blind,59
2022,Private,33,Others,62
2022,Private,33,Deaf,145
2022,Private,33,Mentally Retarded,227
2022,Private,33,Physically Handicapped,8
2021,Private,33,Deaf,114
2021,Private,33,Blind,2
2021,Private,33,Mentally Retarded,179
2021,Private,33,Physically Handicapped,9
2021,Private,33,Others,23
2023,Public,33,Mentally Retarded,189
2023,Public,33,Physically Handicapped,20
2023,Public,33,Deaf,66
2023,Public,33,Others,107
2023,Public,33,Blind,15
2022,Public,33,Mentally Retarded,271
2022,Public,33,Deaf,127
2022,Public,33,Others,172
2022,Public,33,Blind,28
2022,Public,33,Physically Handicapped,37
2021,Public,33,Physically Handicapped,34
2021,Public,33,Mentally Retarded,289
2021,Public,33,Blind,27
2021,Public,33,Deaf,123
2021,Public,33,Others,145
2023,Private,34,Physically Handicapped,28
2023,Private,34,Mentally Retarded,408
2023,Private,34,Others,109
2023,Private,34,Blind,72
2023,Private,34,Deaf,226
2022,Private,34,Others,12
2022,Private,34,Deaf,9
2022,Private,34,Mentally Retarded,18
2022,Private,34,Blind,2
2022,Private,34,Physically Handicapped,1
2021,Private,34,Blind,2
2021,Private,34,Mentally Retarded,10
2021,Private,34,Physically Handicapped,0
2021,Private,34,Deaf,7
2021,Private,34,Others,13
2023,Public,34,Blind,14
2023,Public,34,Deaf,86
2023,Public,34,Mentally Retarded,207
2023,Public,34,Physically Handicapped,24
2023,Public,34,Others,143
2022,Public,34,Others,51
2022,Public,34,Physically Handicapped,10
2022,Public,34,Blind,6
2022,Public,34,Mentally Retarded,120
2022,Public,34,Deaf,55
2021,Public,34,Blind,6
2021,Public,34,Others,43
2021,Public,34,Deaf,61
2021,Public,34,Physically Handicapped,9
2021,Public,34,Mentally Retarded,123
