School,Year,Province,Public School,Private School,Cililian Teacher,Private Teacher,Public Students,Private Students
SMP,2023/2024,Sumatera Utara,1339,1348,32185,13543,411355,210727
SMP,2023/2024,Sumatera Barat,675,183,15624,2315,177358,24144
SMP,2023/2024,Riau,874,395,16457,4562,204418,56952
SMP,2023/2024,Jambi,558,150,9964,1498,98709,21047
SMP,2023/2024,Sumatera Selatan,908,530,21469,5004,287347,69133
SMP,2023/2024,Bengkulu,380,77,7507,828,76883,8619
SMP,2023/2024,Lampung,709,746,17221,7097,242619,94325
SMP,2023/2024,Kepulauan Bangka Belitung,163,69,3197,691,53607,9605
SMP,2023/2024,Kepulauan Riau,236,179,4476,1990,75301,23918
SMP,2023/2024,DKI Jakarta,293,777,10622,9220,212200,135658
SMP,2023/2024,Jawa Barat,1982,3963,55328,41874,1140073,676108
SMP,2023/2024,Jawa Tengah,1772,1674,52093,18462,926618,281686
SMP,2023/2024,DI Yogyakarta,214,240,5570,3287,92471,40084
SMP,2023/2024,Jawa Timur,1737,3259,48692,31692,811528,418894
SMP,2023/2024,Banten,573,1029,14256,10090,277317,164556
SMP,2023/2024,Bali,277,127,9389,1759,159809,26194
SMP,2023/2024,Nusa Tenggara Barat,604,459,17543,4333,133977,39980
SMP,2023/2024,Nusa Tenggara Timur,1380,453,25281,5884,241833,74983
SMP,2023/2024,Kalimantan Barat,1030,347,14154,2773,186019,43911
SMP,2023/2024,Kalimantan Tengah,714,153,8968,1414,86866,18636
SMP,2023/2024,Kalimantan Selatan,522,105,8333,1167,98906,13883
SMP,2023/2024,Kalimantan Timur,458,239,8681,2269,129945,31929
SMP,2023/2024,Kalimantan Utara,156,39,2531,361,29278,3815
SMP,2023/2024,Sulawesi Utara,478,255,7839,1909,74181,24159
SMP,2023/2024,Sulawesi Tengah,734,143,11115,1021,101706,11527
SMP,2023/2024,Sulawesi Selatan,1269,444,25938,4248,278068,53082
SMP,2023/2024,Sulawesi Tenggara,694,95,13501,803,108768,8034
SMP,2023/2024,Gorontalo,313,29,4156,232,39019,2406
SMP,2023/2024,Sulawesi Barat,319,59,5260,445,46261,4961
SMP,2023/2024,Maluku,552,144,9001,1503,73152,16284
SMP,2023/2024,Maluku Utara,373,146,5714,1102,46391,13331
SMP,2023/2024,Papua BaratBarat,124,40,1951,529,20785,6684
SMP,2023/2024,Papua BaratBarat Daya,123,58,2050,588,17856,6794
SMP,2023/2024,Papua,189,80,3093,896,38710,12378
SMP,2023/2024,Papua BaratSelatan,94,36,1592,465,20959,6633
SMP,2023/2024,Papua BaratTengah,101,70,1619,768,27354,13250
SMP,2023/2024,Papua BaratPegunungan,152,45,1641,363,32795,9018
SMP,2023/2024,Indonesia,23972,18576,524221,191032,7233840,2726116
