Year,Status,Gender,No.,Certified,Value
2023,Private,Female,1,Not Yet Certified,194
2023,Private,Male,1,Not Yet Certified,89
2023,Private,Female,1,Not Yet Certified,302
2023,Private,Male,2,Certified,253
2023,Private,Female,2,Not Yet Certified,832
2023,Private,Male,2,Not Yet Certified,478
2023,Private,Female,2,Not Yet Certified,1194
2023,Private,Male,3,Certified,19
2023,Private,Female,3,Not Yet Certified,97
2023,Private,Male,3,Not Yet Certified,163
2023,Private,Female,3,Not Yet Certified,524
2023,Private,Male,4,Certified,127
2023,Private,Female,4,Not Yet Certified,331
2023,Private,Male,4,Not Yet Certified,258
2023,Private,Female,4,Not Yet Certified,708
2023,Private,Male,5,Certified,79
2023,Private,Female,5,Not Yet Certified,284
2023,Private,Male,5,Not Yet Certified,91
2023,Private,Female,5,Not Yet Certified,262
2023,Private,Male,6,Certified,152
2023,Private,Female,6,Not Yet Certified,697
2023,Private,Male,6,Not Yet Certified,421
2023,Private,Female,6,Not Yet Certified,1364
2023,Private,Male,7,Certified,2
2023,Private,Female,7,Not Yet Certified,33
2023,Private,Male,7,Not Yet Certified,47
2023,Private,Female,7,Not Yet Certified,300
2023,Private,Male,8,Certified,11
2023,Private,Female,8,Not Yet Certified,66
2023,Private,Male,8,Not Yet Certified,35
2023,Private,Female,8,Not Yet Certified,185
2023,Private,Male,9,Certified,18
2023,Private,Female,9,Not Yet Certified,216
2023,Private,Male,9,Not Yet Certified,87
2023,Private,Female,9,Not Yet Certified,678
2023,Private,Male,10,Certified,6
2023,Private,Female,10,Not Yet Certified,12
2023,Private,Male,10,Not Yet Certified,34
2023,Private,Female,10,Not Yet Certified,170
2023,Private,Male,11,Certified,0
2023,Private,Female,11,Not Yet Certified,11
2023,Private,Male,11,Not Yet Certified,14
2023,Private,Female,11,Not Yet Certified,91
2023,Private,Male,12,Certified,0
2023,Private,Female,12,Not Yet Certified,1
2023,Private,Male,12,Not Yet Certified,5
2023,Private,Female,12,Not Yet Certified,51
2023,Private,Male,13,Certified,2
2023,Private,Female,13,Not Yet Certified,5
2023,Private,Male,13,Not Yet Certified,20
2023,Private,Female,13,Not Yet Certified,166
2023,Private,Male,14,Certified,0
2023,Private,Female,14,Not Yet Certified,0
2023,Private,Male,14,Not Yet Certified,2
2023,Private,Female,14,Not Yet Certified,21
2023,Private,Male,15,Certified,0
2023,Private,Female,15,Not Yet Certified,1
2023,Private,Male,15,Not Yet Certified,10
2023,Private,Female,15,Not Yet Certified,33
2023,Private,Male,16,Certified,6
2023,Private,Female,16,Not Yet Certified,25
2023,Private,Male,16,Not Yet Certified,28
2023,Private,Female,16,Not Yet Certified,91
2023,Private,Male,17,Certified,6
2023,Private,Female,17,Not Yet Certified,7
2023,Private,Male,17,Not Yet Certified,18
2023,Private,Female,17,Not Yet Certified,78
2023,Private,Male,18,Certified,0
2023,Private,Female,18,Not Yet Certified,1
2023,Private,Male,18,Not Yet Certified,8
2023,Private,Female,18,Not Yet Certified,22
2023,Private,Male,19,Certified,0
2023,Private,Female,19,Not Yet Certified,1
2023,Private,Male,19,Not Yet Certified,3
2023,Private,Female,19,Not Yet Certified,36
2023,Private,Male,20,Certified,7
2023,Private,Female,20,Not Yet Certified,17
2023,Private,Male,20,Not Yet Certified,22
2023,Private,Female,20,Not Yet Certified,102
2023,Private,Male,21,Certified,0
2023,Private,Female,21,Not Yet Certified,0
2023,Private,Male,21,Not Yet Certified,0
2023,Private,Female,21,Not Yet Certified,3
2023,Private,Male,22,Certified,16
2023,Private,Female,22,Not Yet Certified,41
2023,Private,Male,22,Not Yet Certified,27
2023,Private,Female,22,Not Yet Certified,109
2023,Private,Male,23,Certified,0
2023,Private,Female,23,Not Yet Certified,0
2023,Private,Male,23,Not Yet Certified,0
2023,Private,Female,23,Not Yet Certified,0
2023,Private,Male,24,Certified,1
2023,Private,Female,24,Not Yet Certified,10
2023,Private,Male,24,Not Yet Certified,29
2023,Private,Female,24,Not Yet Certified,74
2023,Private,Male,25,Certified,21
2023,Private,Female,25,Not Yet Certified,68
2023,Private,Male,25,Not Yet Certified,100
2023,Private,Female,25,Not Yet Certified,340
2023,Private,Male,26,Certified,0
2023,Private,Female,26,Not Yet Certified,1
2023,Private,Male,26,Not Yet Certified,19
2023,Private,Female,26,Not Yet Certified,36
2023,Private,Male,27,Certified,10
2023,Private,Female,27,Not Yet Certified,29
2023,Private,Male,27,Not Yet Certified,94
2023,Private,Female,27,Not Yet Certified,296
2023,Private,Male,28,Certified,0
2023,Private,Female,28,Not Yet Certified,3
2023,Private,Male,28,Not Yet Certified,5
2023,Private,Female,28,Not Yet Certified,29
2023,Private,Male,29,Certified,1
2023,Private,Female,29,Not Yet Certified,1
2023,Private,Male,29,Not Yet Certified,4
2023,Private,Female,29,Not Yet Certified,17
2023,Private,Male,30,Certified,1
2023,Private,Female,30,Not Yet Certified,3
2023,Private,Male,30,Not Yet Certified,8
2023,Private,Female,30,Not Yet Certified,9
2023,Private,Male,31,Certified,7
2023,Private,Female,31,Not Yet Certified,8
2023,Private,Male,31,Not Yet Certified,90
2023,Private,Female,31,Not Yet Certified,207
2023,Private,Male,32,Certified,8
2023,Private,Female,32,Not Yet Certified,5
2023,Private,Male,32,Not Yet Certified,24
2023,Private,Female,32,Not Yet Certified,74
2023,Private,Male,33,Certified,0
2023,Private,Female,33,Not Yet Certified,0
2023,Private,Male,33,Not Yet Certified,1
2023,Private,Female,33,Not Yet Certified,9
2023,Private,Male,34,Certified,0
2023,Private,Female,34,Not Yet Certified,2
2023,Private,Male,34,Not Yet Certified,2
2023,Private,Female,34,Not Yet Certified,4
2023,Private,Male,34,Certified,0
2023,Private,Female,34,Not Yet Certified,0
2023,Private,Male,34,Not Yet Certified,0
2023,Private,Female,34,Not Yet Certified,0
2023,Private,Male,34,Certified,0
2023,Private,Female,34,Not Yet Certified,4
2023,Private,Male,34,Not Yet Certified,5
2023,Private,Female,34,Not Yet Certified,8
2023,Private,Male,34,Certified,0
2023,Private,Female,34,Not Yet Certified,0
2023,Private,Male,34,Not Yet Certified,0
2023,Private,Female,34,Not Yet Certified,0
2023,Private,Male,34,Certified,0
2023,Private,Female,34,Not Yet Certified,0
2023,Private,Male,34,Not Yet Certified,0
2023,Private,Female,34,Not Yet Certified,0
