Year,Status,No.,Internet,Total
2022,Private,17,Unavaiable,3
2021,Private,17,Unavaiable,3
2021,Private,17,Avaiable,6
2022,Public,17,Avaiable,8
2022,Public,17,Unavaiable,6
2022,Private,17,Avaiable,6
2023,Private,17,Avaiable,8
2023,Public,17,Unavaiable,3
2023,Public,17,Avaiable,12
2021,Public,17,Unavaiable,7
2021,Public,17,Avaiable,7
2023,Private,17,Unavaiable,3
2022,Private,18,Avaiable,2
2022,Private,18,Unavaiable,2
2022,Public,18,Avaiable,14
2022,Public,18,Unavaiable,7
2021,Private,18,Unavaiable,1
2023,Public,18,Unavaiable,3
2023,Private,18,Avaiable,5
2023,Public,18,Avaiable,17
2021,Public,18,Unavaiable,9
2021,Private,18,Avaiable,4
2021,Public,18,Avaiable,10
2023,Private,18,Unavaiable,0
2022,Private,19,Unavaiable,0
2022,Public,19,Unavaiable,3
2022,Public,19,Avaiable,18
2022,Private,19,Avaiable,4
2023,Private,19,Unavaiable,0
2021,Private,19,Unavaiable,2
2023,Public,19,Unavaiable,0
2023,Private,19,Avaiable,4
2021,Public,19,Avaiable,12
2023,Public,19,Avaiable,22
2021,Private,19,Avaiable,2
2021,Public,19,Unavaiable,9
2022,Private,20,Unavaiable,4
2023,Public,20,Unavaiable,3
2023,Public,20,Avaiable,8
2021,Private,20,Unavaiable,6
2022,Public,20,Avaiable,7
2021,Private,20,Avaiable,20
2021,Public,20,Avaiable,6
2021,Public,20,Unavaiable,5
2022,Public,20,Unavaiable,4
2023,Private,20,Avaiable,23
2023,Private,20,Unavaiable,1
2022,Private,20,Avaiable,19
2021,Public,21,Avaiable,3
2022,Public,21,Unavaiable,3
2023,Private,21,Unavaiable,1
2023,Private,21,Avaiable,0
2023,Public,21,Unavaiable,0
2023,Public,21,Avaiable,6
2021,Public,21,Unavaiable,2
2021,Private,21,Avaiable,0
2021,Private,21,Unavaiable,0
2022,Private,21,Unavaiable,0
2022,Private,21,Avaiable,0
2022,Public,21,Avaiable,2
2021,Public,22,Avaiable,4
2023,Private,22,Unavaiable,3
2023,Private,22,Avaiable,26
2021,Private,22,Unavaiable,11
2021,Private,22,Avaiable,15
2021,Public,22,Unavaiable,2
2022,Public,22,Avaiable,3
2022,Public,22,Unavaiable,3
2022,Private,22,Unavaiable,12
2022,Private,22,Avaiable,16
2023,Public,22,Unavaiable,2
2023,Public,22,Avaiable,4
2021,Private,23,Unavaiable,0
2021,Private,23,Avaiable,0
2023,Public,23,Unavaiable,1
2023,Public,23,Avaiable,7
2023,Private,23,Unavaiable,0
2023,Private,23,Avaiable,0
2022,Public,23,Unavaiable,4
2022,Public,23,Avaiable,4
2022,Private,23,Unavaiable,0
2022,Private,23,Avaiable,0
2021,Public,23,Avaiable,6
2021,Public,23,Unavaiable,2
2022,Private,24,Avaiable,11
2022,Public,24,Unavaiable,9
2023,Private,24,Unavaiable,1
2023,Private,24,Avaiable,16
2022,Private,24,Unavaiable,6
2023,Public,24,Unavaiable,3
2023,Public,24,Avaiable,13
2021,Private,24,Avaiable,8
2021,Private,24,Unavaiable,6
2022,Public,24,Avaiable,7
2021,Public,24,Avaiable,7
2021,Public,24,Unavaiable,9
2023,Private,25,Unavaiable,16
2023,Public,25,Avaiable,22
2023,Private,25,Avaiable,55
2023,Public,25,Unavaiable,1
2021,Public,25,Avaiable,15
2021,Public,25,Unavaiable,8
2022,Public,25,Avaiable,14
2022,Private,25,Unavaiable,23
2022,Private,25,Avaiable,45
2022,Public,25,Unavaiable,9
2021,Private,25,Unavaiable,20
2021,Private,25,Avaiable,43
2022,Public,26,Unavaiable,5
2022,Public,26,Avaiable,8
2021,Public,26,Avaiable,4
2021,Private,26,Avaiable,8
2021,Public,26,Unavaiable,9
2023,Private,26,Unavaiable,3
2022,Private,26,Unavaiable,2
2021,Private,26,Unavaiable,4
2023,Private,26,Avaiable,9
2022,Private,26,Avaiable,10
2023,Public,26,Avaiable,10
