Year,Status,Gender,No.,Total
2022,Public,Male,21,32
2022,Public,Female,21,57
2022,Public,Male,22,27
2022,Public,Female,22,72
2022,Public,Male,23,63
2022,Public,Female,23,166
2022,Public,Male,24,38
2022,Public,Female,24,131
2022,Public,Male,25,146
2022,Public,Female,25,442
2022,Public,Male,26,64
2022,Public,Female,26,149
2022,Public,Male,27,46
2022,Public,Female,27,124
2022,Public,Male,28,19
2022,Public,Female,28,108
2022,Public,Male,29,36
2022,Public,Female,29,181
2022,Public,Male,30,141
2022,Public,Female,30,210
2022,Public,Male,31,132
2022,Public,Female,31,272
2022,Public,Male,32,184
2022,Public,Female,32,412
2022,Public,Male,33,30
2022,Public,Female,33,65
2022,Public,Male,34,6
2022,Public,Female,34,20
2023,Public,Male,1,185
2023,Public,Female,1,428
2023,Public,Male,2,478
2023,Public,Female,2,993
2023,Public,Male,3,107
2023,Public,Female,3,242
2023,Public,Male,4,361
2023,Public,Female,4,925
2023,Public,Male,5,111
2023,Public,Female,5,238
2023,Public,Male,6,295
2023,Public,Female,6,787
2023,Public,Male,7,168
2023,Public,Female,7,555
2023,Public,Male,8,116
2023,Public,Female,8,413
2023,Public,Male,9,94
2023,Public,Female,9,407
2023,Public,Male,10,88
2023,Public,Female,10,253
2023,Public,Male,11,30
2023,Public,Female,11,115
2023,Public,Male,12,89
2023,Public,Female,12,291
2023,Public,Male,13,64
2023,Public,Female,13,225
2023,Public,Male,14,35
2023,Public,Female,14,112
2023,Public,Male,15,66
2023,Public,Female,15,213
2023,Public,Male,16,62
2023,Public,Female,16,163
2023,Public,Male,17,38
2023,Public,Female,17,98
2023,Public,Male,18,78
2023,Public,Female,18,233
2023,Public,Male,19,219
2023,Public,Female,19,444
2023,Public,Male,20,75
2023,Public,Female,20,186
2023,Public,Male,21,31
2023,Public,Female,21,56
2023,Public,Male,22,30
2023,Public,Female,22,68
2023,Public,Male,23,59
2023,Public,Female,23,154
2023,Public,Male,24,30
2023,Public,Female,24,118
2023,Public,Male,25,138
2023,Public,Female,25,456
2023,Public,Male,26,56
2023,Public,Female,26,150
2023,Public,Male,27,45
2023,Public,Female,27,135
2023,Public,Male,28,20
2023,Public,Female,28,109
2023,Public,Male,29,45
2023,Public,Female,29,146
2023,Public,Male,30,135
2023,Public,Female,30,210
2023,Public,Male,31,139
2023,Public,Female,31,289
2023,Public,Male,32,178
2023,Public,Female,32,431
2023,Public,Male,33,20
2023,Public,Female,33,36
2023,Public,Male,34,13
2023,Public,Female,34,40
2023,Private,Male,1,156
2023,Private,Female,1,496
2023,Private,Male,2,731
2023,Private,Female,2,2026
2023,Private,Male,3,182
2023,Private,Female,3,621
2023,Private,Male,4,385
2023,Private,Female,4,1039
2023,Private,Male,5,170
2023,Private,Female,5,546
2023,Private,Male,6,573
2023,Private,Female,6,2061
2023,Private,Male,7,49
2023,Private,Female,7,333
2023,Private,Male,8,46
2023,Private,Female,8,251
2023,Private,Male,9,105
2023,Private,Female,9,894
2023,Private,Male,10,40
2023,Private,Female,10,182
2023,Private,Male,11,14
2023,Private,Female,11,102
2023,Private,Male,12,5
2023,Private,Female,12,52
2023,Private,Male,13,22
2023,Private,Female,13,171
2023,Private,Male,14,2
2023,Private,Female,14,21
2023,Private,Male,15,10
2023,Private,Female,15,34
2023,Private,Male,16,34
2023,Private,Female,16,116
2023,Private,Male,17,24
2023,Private,Female,17,85
2023,Private,Male,18,8
2023,Private,Female,18,23
2023,Private,Male,19,3
2023,Private,Female,19,37
2023,Private,Male,20,29
2023,Private,Female,20,119
2023,Private,Male,21,0
2023,Private,Female,21,3
2023,Private,Male,22,43
2023,Private,Female,22,150
2023,Private,Male,23,0
2023,Private,Female,23,0
2023,Private,Male,24,30
2023,Private,Female,24,84
2023,Private,Male,25,121
2023,Private,Female,25,408
2023,Private,Male,26,19
2023,Private,Female,26,37
2023,Private,Male,27,104
2023,Private,Female,27,325
2023,Private,Male,28,5
2023,Private,Female,28,32
2023,Private,Male,29,5
2023,Private,Female,29,18
2023,Private,Male,30,9
2023,Private,Female,30,12
2023,Private,Male,31,97
2023,Private,Female,31,215
2023,Private,Male,32,32
2023,Private,Female,32,79
2023,Private,Male,33,1
2023,Private,Female,33,9
2023,Private,Male,34,7
2023,Private,Female,34,18
